,HHID,IWTime,SN,Age,Gender,M_Status,Class,S_Name,Occupation,livedOutside,Address,WhenMove,BirthPlace,MoveHereYear,Caste,Secondary,Brahmin-Chetri,Gurung-Magar-Tamang,Dalit,Newar,Tharu-Darai-Kumal,Other
699,2304157,0:13,1,68,0,1,7,0,5,0,0,-1,N65,2023-11,4,1,0,0,0,1,0,0
708,2304158,0:11,1,38,0,1,5,0,5,1,0,-1,N61,2052-04,5,0,0,0,0,0,1,0
714,2304162,0:07,1,33,1,1,4,0,5,0,0,-1,N08,2063-08,3,0,0,0,1,0,0,0
720,2304163,0:08,1,44,0,1,4,0,5,0,0,-1,0,-1,3,0,0,0,1,0,0,0
725,2304164,0:08,1,29,1,1,8,0,5,1,0,-1,N56,2068-02,3,1,0,0,1,0,0,0
731,2304166,0:11,1,42,0,1,4,0,5,1,0,-1,0,-1,3,0,0,0,1,0,0,0
737,2304167,0:08,1,45,1,1,0,0,5,0,0,-1,N56,2049-10,3,0,0,0,1,0,0,0
744,2304170,0:12,1,33,1,1,1,0,5,0,0,-1,0,-1,3,0,0,0,1,0,0,0
749,2304173,0:09,1,69,1,3,0,0,5,0,0,-1,N68,2059-06,3,0,0,0,1,0,0,0
755,2304174,0:12,1,57,0,1,12,0,5,1,0,-1,N67,2046-10,1,1,1,0,0,0,0,0
760,2304175,0:06,1,46,0,1,7,0,5,1,0,-1,N68,2054-10,3,1,0,0,1,0,0,0
764,2304176,0:06,1,50,1,3,0,0,1,1,0,-1,F091,2066-01,1,0,1,0,0,0,0,0
769,2304177,0:10,1,46,1,1,8,0,5,0,0,-1,N56,2049-01,1,1,1,0,0,0,0,0
774,2309002,0:05,1,46,0,1,4,0,1,0,0,-1,N37,2065-05,3,0,0,0,1,0,0,0
782,2309004,0:07,1,48,1,1,10,0,5,1,0,-1,F091,2052-08,1,1,1,0,0,0,0,0
785,2309014,0:05,1,38,1,1,14,0,1,0,0,-1,N56,2058-11,1,1,1,0,0,0,0,0
788,2309016,0:05,1,46,0,1,10,0,1,0,0,-1,0,-1,1,1,1,0,0,0,0,0
793,2309021,0:03,1,40,1,1,10,0,1,0,0,-1,N56,2060-03,1,1,1,0,0,0,0,0
795,2309022,0:04,1,35,1,1,9,0,1,0,0,-1,N56,2061-06,1,1,1,0,0,0,0,0
799,2309029,0:06,1,45,1,1,5,0,5,0,0,-1,N68,2070-01,1,0,1,0,0,0,0,0
803,2309030,0:05,1,68,0,3,8,0,5,0,0,-1,N64,2018,1,1,1,0,0,0,0,0
807,2309032,0:07,1,68,1,3,0,0,6,0,0,-1,N67,2017-11,1,0,1,0,0,0,0,0
812,2309033,0:05,1,52,0,1,9,0,5,0,0,-1,0,-1,1,1,1,0,0,0,0,0
817,2309036,0:08,1,54,1,1,5,0,5,0,0,-1,N61,2038-02,1,0,1,0,0,0,0,0
822,2309037,0:05,1,56,0,1,10,0,5,1,0,-1,0,-1,1,1,1,0,0,0,0,0
826,2309039,0:05,1,48,0,1,10,0,5,1,0,-1,N10,2060-12,2,1,0,1,0,0,0,0
831,2309041,0:07,1,40,1,1,12,0,5,0,0,-1,N64,2056-10,1,1,1,0,0,0,0,0
837,2309042,0:12,1,56,1,1,10,0,5,0,0,-1,N67,2043-03,1,1,1,0,0,0,0,0
838,2309045,0:04,1,58,1,1,0,0,5,0,0,-1,N79,2072-01,1,0,1,0,0,0,0,0
843,2309053,0:10,1,35,1,1,0,0,5,0,0,-1,N57,2066-11,2,0,0,1,0,0,0,0
849,2309054,0:07,1,55,0,3,0,0,3,0,0,-1,0,-1,5,0,0,0,0,0,1,0
854,2309055,0:10,1,74,0,1,5,0,5,0,0,-1,N57,2036-02,1,0,1,0,0,0,0,0
860,2309056,0:08,1,36,1,1,3,0,5,0,0,-1,0,-1,6,0,0,0,0,0,0,1
866,2309057,0:07,1,38,1,1,14,0,2,0,0,-1,N62,2067-08,2,1,0,1,0,0,0,0
870,2309059,0:04,1,36,1,1,7,0,5,0,0,-1,0,-1,1,1,1,0,0,0,0,0
872,2309067,0:05,1,42,1,1,0,0,5,0,0,-1,N56,2065-07,5,0,0,0,0,0,1,0
875,2309068,0:04,1,55,1,1,0,0,5,0,0,-1,N56,2050-02,3,0,0,0,1,0,0,0
879,2309070,0:03,1,47,1,1,5,0,5,0,0,-1,N56,2072-09,1,0,1,0,0,0,0,0
884,2309071,0:10,1,24,1,1,5,0,5,0,0,-1,0,-1,6,0,0,0,0,0,0,1
888,2309074,0:07,1,71,1,3,0,0,5,0,0,-1,0,-1,6,0,0,0,0,0,0,1
892,2309075,0:05,1,55,1,2,5,0,5,0,0,-1,N64,2043-02,1,0,1,0,0,0,0,0
894,2309079,0:08,1,55,1,1,0,0,5,0,0,-1,N56,2036-01,5,0,0,0,0,0,1,0
903,2309080,0:04,1,30,1,1,9,0,5,0,0,-1,N56,2071-01,6,1,0,0,0,0,0,1
