,Unnamed: 0.1,Unnamed: 0,HHID,Subward,Radio,Television,Newspapers,AgExtension,Veterinarian,MigrantLabor,OtherGov,LocalFriend,DistantFriend,Religious,Scientist,SocialMedia,SourceNumber,SourceIndex,PublicSources,Local,National,LocalIndex,NationalIndex,Professional,Government
88,88,88,2304049,2304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3,-0.4287444581285865,0,1,2,-0.7415467969375173,0.599289844343614,-0.6995916337886435,-0.6217802276769422
89,89,89,2304050,2304,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4,0.0322710882462376,0,2,2,0.2742707331138763,0.599289844343614,-0.6995916337886435,-0.6217802276769422
90,90,90,2304051,2304,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,1,2,0,0.2742707331138763,-1.3464564035252622,0.19962640450010133,1.0958447106571523
91,91,91,2304052,2304,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4,0.0322710882462376,0,2,2,0.2742707331138763,0.599289844343614,-0.6995916337886435,-0.6217802276769422
92,92,92,2304053,2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2,-0.8897600045034108,0,1,1,-0.7415467969375173,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
93,93,93,2304055,2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0,1,0,-0.7415467969375173,-1.3464564035252622,-0.6995916337886435,-0.6217802276769422
94,94,94,2304056,2304,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3,-0.4287444581285865,0,1,1,-0.7415467969375173,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
95,95,95,2304059,2304,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,8,1.8763332737455345,1,3,3,1.29008826316527,1.572162968278052,1.0988444427888462,1.0958447106571523
96,96,96,2304064,2304,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,5,0.4932866346210617,1,2,1,0.2742707331138763,-0.3735832795908241,1.0988444427888462,1.0958447106571523
97,97,97,2304065,2304,0.0,0.0,2.0,1.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,2.0,7,1.41531772737071,1,3,2,1.29008826316527,0.599289844343614,1.998062481077591,2.8134696489912465
98,98,98,2304070,2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0,1,0,-0.7415467969375173,-1.3464564035252622,-0.6995916337886435,-0.6217802276769422
99,99,99,2304071,2304,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,0,2,0,0.2742707331138763,-1.3464564035252622,-0.6995916337886435,-0.6217802276769422
100,100,100,2304072,2304,2.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,1.0,0.0,4.0,11,3.259379912870007,1,4,4,2.3059057932166636,2.54503609221249,3.7964985576550805,2.8134696489912465
101,101,101,2304075,2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2,-0.8897600045034108,0,1,1,-0.7415467969375173,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
102,102,102,2304076,2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,3,-0.4287444581285865,0,1,1,-0.7415467969375173,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
103,103,103,2304083,2304,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3,-0.4287444581285865,0,0,2,-1.757364326988911,0.599289844343614,-0.6995916337886435,-0.6217802276769422
104,104,104,2304084,2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,3,-0.4287444581285865,0,1,1,-0.7415467969375173,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
105,105,105,2304085,2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0,1,0,-0.7415467969375173,-1.3464564035252622,-0.6995916337886435,-0.6217802276769422
106,106,106,2304086,2304,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,4,0.0322710882462376,0,1,2,-0.7415467969375173,0.599289844343614,-0.6995916337886435,-0.6217802276769422
107,107,107,2304087,2304,0.0,4.0,1.0,0.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,4.0,10,2.798364366495183,1,2,4,0.2742707331138763,2.54503609221249,3.7964985576550805,1.0958447106571523
108,108,108,2304089,2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0,1,0,-0.7415467969375173,-1.3464564035252622,-0.6995916337886435,-0.6217802276769422
109,109,109,2304090,2304,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,0,2,1,0.2742707331138763,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
110,110,110,2304091,2304,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,1,3,0,1.29008826316527,-1.3464564035252622,1.0988444427888462,1.0958447106571523
111,111,111,2304092,2304,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4,0.0322710882462376,0,2,2,0.2742707331138763,0.599289844343614,-0.6995916337886435,-0.6217802276769422
112,112,112,2304094,2304,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4,0.0322710882462376,0,2,2,0.2742707331138763,0.599289844343614,-0.6995916337886435,-0.6217802276769422
113,113,113,2304098,2304,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,5,0.4932866346210617,1,3,1,1.29008826316527,-0.3735832795908241,1.0988444427888462,1.0958447106571523
114,114,114,2304103,2304,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,4,0.0322710882462376,1,2,2,0.2742707331138763,0.599289844343614,1.0988444427888462,1.0958447106571523
