,HHID,Labour,Health,Technology,Finance,Education,Seeds,Soil,Water,Land,ShortWeather,LongWeather,PestSalience,Markets,Economy,Religious,Droughts,Floods,Groundwater,Heat,Pests,Frost,Hail
96,2304064,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,0.0
97,2304065,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0
98,2304070,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
99,2304071,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0
100,2304072,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
101,2304075,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0
102,2304076,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0
103,2304083,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.0
104,2304084,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
105,2304085,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0
106,2304086,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0
107,2304087,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
108,2304089,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
109,2304090,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
110,2304091,3.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0
111,2304092,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
112,2304094,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
113,2304098,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0
114,2304103,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,0.0
115,2304105,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0
116,2304110,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117,2304111,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0
118,2304112,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0
119,2304118,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.0
120,2304119,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
121,2304121,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
122,2304122,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0
123,2304123,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0
124,2304124,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,2304126,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,-1.0
126,2304130,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0
127,2304131,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0
128,2304132,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
129,2304133,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
130,2304134,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,-1.0
131,2304135,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
132,2304136,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
133,2304139,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134,2304140,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
135,2304141,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
136,2304146,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0
137,2304147,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
138,2304148,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
139,2304149,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
140,2304150,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
141,2304151,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
